PT,Cipher,Speedup vs ASCON-AEAD
64,ASCON-Hash256,0.601
64,SPECK-64/96 ECB,1.741
64,PRESENT-80 ECB,0.012
64,PRESENT-128 ECB,0.012
64,SPECK-64/96 CBC,1.293
64,SPECK-64/96 CTR,1.490
64,PRESENT-80 CBC,0.012
64,PRESENT-128 CBC,0.012
64,SPECK-64/128 ECB,1.621
64,SPECK-64/128 CBC,2.241
64,SPECK-64/128 CTR,2.379
64,PRESENT-80 CTR,0.024
64,PRESENT-128 CTR,0.024
256,ASCON-Hash256,0.635
256,SPECK-64/96 ECB,1.474
256,PRESENT-80 ECB,0.010
256,PRESENT-128 ECB,0.010
256,SPECK-64/96 CBC,1.052
256,SPECK-64/96 CTR,1.225
256,PRESENT-80 CBC,0.009
256,PRESENT-128 CBC,0.009
256,SPECK-64/128 ECB,1.333
256,SPECK-64/128 CBC,1.777
256,SPECK-64/128 CTR,1.945
256,PRESENT-80 CTR,0.019
256,PRESENT-128 CTR,0.019
1024,ASCON-Hash256,0.629
1024,SPECK-64/96 ECB,1.391
1024,PRESENT-80 ECB,0.009
1024,PRESENT-128 ECB,0.009
1024,SPECK-64/96 CBC,0.978
1024,SPECK-64/96 CTR,1.147
1024,PRESENT-80 CBC,0.009
1024,PRESENT-128 CBC,0.009
1024,SPECK-64/128 ECB,1.279
1024,SPECK-64/128 CBC,1.681
1024,SPECK-64/128 CTR,1.861
1024,PRESENT-80 CTR,0.017
1024,PRESENT-128 CTR,0.017
